date,product,role,long_oi,short_oi,net_oi,long_trade,short_trade,net_trade
2018-07-05,臺股期貨,外資,62189,40518,21671,69687,75670,-5983
2018-07-05,臺股期貨,投信,2127,27881,-25754,65,638,-573
2018-07-05,臺股期貨,自營商,9559,11864,-2305,20609,21115,-506
2018-07-06,小型臺指,外資,687,13398,-12711,67961,68073,-112
2018-07-06,小型臺指,投信,113,0,113,8,0,8
2018-07-06,小型臺指,自營商,11476,13647,-2171,14839,13718,1121
2018-07-06,臺股期貨,外資,64948,40095,24853,93755,90584,3171
2018-07-06,臺股期貨,投信,2239,27918,-25679,149,74,75
2018-07-06,臺股期貨,自營商,9530,11124,-1594,25867,25164,703
2018-07-09,小型臺指,外資,1376,9980,-8604,49366,45223,4143
2018-07-09,小型臺指,投信,118,0,118,5,0,5
2018-07-09,小型臺指,自營商,14009,15025,-1016,13359,11684,1675
2018-07-09,臺股期貨,外資,69185,38776,30409,68172,62625,5547
2018-07-09,臺股期貨,投信,2409,26870,-24461,1288,70,1218
2018-07-09,臺股期貨,自營商,8011,10974,-2963,17505,19004,-1499
2018-07-10,小型臺指,外資,1038,7739,-6701,35976,34021,1955
2018-07-10,小型臺指,投信,133,0,133,15,0,15
2018-07-10,小型臺指,自營商,15978,14554,1424,9561,7121,2440
2018-07-10,臺股期貨,外資,67512,34896,32616,48861,46667,2194
2018-07-10,臺股期貨,投信,2556,26785,-24229,283,51,232
2018-07-10,臺股期貨,自營商,8506,11071,-2565,14371,13973,398
2018-07-11,小型臺指,外資,905,9290,-8385,43910,45623,-1713
2018-07-11,小型臺指,投信,138,0,138,5,0,5
2018-07-11,小型臺指,自營商,14782,13759,1023,14554,14846,-292
2018-07-11,臺股期貨,外資,65511,35776,29735,66551,69432,-2881
2018-07-11,臺股期貨,投信,2623,27213,-24590,177,538,-361
2018-07-11,臺股期貨,自營商,8773,10573,-1800,23844,23140,704
2018-07-12,小型臺指,外資,2031,6051,-4020,43698,39309,4389
2018-07-12,小型臺指,投信,138,0,138,0,0,0
2018-07-12,小型臺指,自營商,18295,14280,4015,16152,13004,3148
2018-07-12,臺股期貨,外資,71878,36926,34952,64639,59428,5211
2018-07-12,臺股期貨,投信,2673,26290,-23617,1338,365,973
2018-07-12,臺股期貨,自營商,9176,12573,-3397,18791,20427,-1636
2018-07-13,小型臺指,外資,1973,6064,-4091,35610,35641,-31
2018-07-13,小型臺指,投信,138,0,138,0,0,0
2018-07-13,小型臺指,自營商,22509,13399,9110,14632,11345,3287
2018-07-13,臺股期貨,外資,72660,37924,34736,60248,60474,-226
2018-07-13,臺股期貨,投信,2757,25675,-22918,5195,4496,699
